"Alone","Copartisans","Opposition","Name","State","District","MarVicGen","MarVicPrim","MADemVotePresidential","RedistYear","PercDelegationSameParty","DeviationFromMedian","Congress","Committee Chair","Committee Ranking Member","Lost","Ran for Higher Office","Retired"
0.15,0.53,0.32,"HALEYJAMESA","FL",8,0.3,1.71,3.37,0,0.6,0.64,93,1,0,0,0,0
0.16,0.55,0.29,"HALEYJAMESA","FL",8,0.26,0.86,3.22,0,0.27,0.66,94,1,0,0,0,1
0.04,0.69,0.27,"HANSENJULIABUTLER","WA",3,0.63,0.46,3.9,0,0.4,0.95,93,0,0,0,0,1
0.45,0.4,0.15,"HAYSWAYNEL","OH",18,0.78,1.21,3.64,0,0.47,0.74,93,1,0,0,0,0
0.46,0.44,0.1,"HAYSWAYNEL","OH",18,0.6,1.02,3.66,0,0.53,0.76,94,1,0,0,0,1
0.1,0.71,0.19,"HECHLERKEN","WV",4,0.43,0.58,3.9,0,0.27,0.92,93,0,0,0,0,0
0.14,0.72,0.14,"HECHLERKEN","WV",4,1.93,1.71,3.81,0,0.27,0.95,94,0,0,0,1,0
0.08,0.62,0.29,"HOLIFIELDCHET","CA",19,0.8,0.41,4.38,0,1.6,1.23,93,1,0,0,0,1
0.13,0.5,0.37,"HOSMERCRAIG","CA",32,0.67,1.71,3.82,0,1.33,0.7,93,0,1,0,0,1
0.42,0.38,0.19,"JARMANJOHN","OK",5,0.4,0.89,3.26,0,0.33,0.14,93,0,0,0,0,0
0.18,0.56,0.26,"JOHNSONHAROLDT","CA",2,0.79,1.71,4.08,0,1.6,0.99,93,0,0,0,0,0
0.07,0.68,0.25,"JOHNSONHAROLDT","CA",1,1.38,1.02,3.94,0,1.87,1.02,94,0,0,0,0,0
0.06,0.69,0.26,"JOHNSONHAROLDT","CA",1,0.93,1,3.93,0,1.87,1.06,95,0,0,0,0,0
0.07,0.63,0.3,"JOHNSONHAROLDT","CA",1,0.36,1.06,3.87,0,1.67,1.02,96,1,0,1,0,0
0.17,0.55,0.28,"JONESROBERTEJR","AL",5,0.98,0.97,3.39,0,0.27,0.66,93,0,0,0,0,0
0.12,0.7,0.18,"JONESROBERTEJR","AL",5,1.93,1.71,3.26,0,0.27,0.68,94,1,0,0,0,1
0.35,0.56,0.09,"KARTHJOSEPHE","MN",4,1.01,1.71,4.14,0,0.33,1.11,94,0,0,0,0,1
0.29,0.56,0.15,"KASTENMEIERROBERTW","WI",2,0.72,1.71,3.59,0,0.33,1.43,93,0,0,0,0,0
0.15,0.67,0.17,"KASTENMEIERROBERTW","WI",2,0.57,1.71,3.62,0,0.47,1.47,94,0,0,0,0,0
0.15,0.67,0.17,"KASTENMEIERROBERTW","WI",2,0.6,1.71,3.65,0,0.47,1.54,95,0,0,0,0,0
0.12,0.72,0.16,"KASTENMEIERROBERTW","WI",2,0.32,1.71,3.67,0,0.4,1.48,96,0,0,0,0,0
0.11,0.66,0.23,"KASTENMEIERROBERTW","WI",2,0.17,1.71,3.67,0,0.33,1.57,97,0,0,0,0,0
0.12,0.71,0.17,"KASTENMEIERROBERTW","WI",2,0.43,1.71,3.61,0,0.33,1.83,98,0,0,0,0,0
0.07,0.72,0.21,"KASTENMEIERROBERTW","WI",2,0.53,1.11,3.62,0,0.33,1.95,99,0,0,0,0,0
0.05,0.73,0.22,"KASTENMEIERROBERTW","WI",2,0.22,1.71,3.62,0,0.33,1.94,100,0,0,0,0,0
0.02,0.59,0.39,"KASTENMEIERROBERTW","WI",2,0.33,1.71,3.66,0,0.33,2,101,0,0,1,0,0
0.09,0.61,0.3,"KLUCZYNSKIJOHNC","IL",5,0.88,1.26,4.28,0,0.6,1.04,93,0,0,0,0,0
0.01,0.79,0.2,"KLUCZYNSKIJOHNC","IL",5,1.39,1.71,4.14,0,0.87,1.07,94,0,0,0,0,1
0.23,0.57,0.21,"LANDRUMPHILM","GA",9,1.93,1.71,3.96,0,0.6,0.02,93,0,0,0,0,0
0.21,0.61,0.17,"LANDRUMPHILM","GA",9,0.96,0.59,3.76,0,0.67,0.02,94,0,0,0,0,1
0.3,0.42,0.28,"LATTADELBERTL","OH",5,0.88,1.71,4.57,0,1.07,1,93,0,0,0,0,0
0.24,0.55,0.21,"LATTADELBERTL","OH",5,0.49,1.71,4.5,0,0.93,1.03,94,0,1,0,0,0
0.27,0.5,0.22,"LATTADELBERTL","OH",5,0.67,1.71,4.48,0,0.8,1.08,95,0,1,0,0,0
0.17,0.52,0.31,"LATTADELBERTL","OH",5,0.49,1.71,4.46,0,0.8,1.04,96,0,1,0,0,0
0.15,0.5,0.35,"LATTADELBERTL","OH",5,0.79,1.71,4.5,0,0.87,1.1,97,0,1,0,0,0
0.07,0.48,0.45,"LATTADELBERTL","OH",5,0.58,1.43,4.56,0,0.67,1.36,100,0,1,0,0,1
0.36,0.52,0.12,"MACDONALDTORBERTH","MA",7,0.69,1.11,4.64,0,0.6,0.77,93,0,0,0,0,0
0.22,0.63,0.15,"MACDONALDTORBERTH","MA",7,1.15,1.71,4.59,0,0.67,0.79,94,0,0,0,0,1
0.32,0.54,0.15,"MADDENRAYJ","IN",1,0.27,0.09,3.8,0,0.27,1.1,93,1,0,0,0,0
